assembly,declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,trainlevelNEW,594,0x25D0B4,595,0x25D0CC,train_combat
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,danhytrilieu,596,0x25D120,597,0x25D17C,heal_buff
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,muaItem,598,0x25D1D0,599,0x25D1E8,consumable_shop
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,dungvang,600,0x25D24C,601,0x25D294,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,DUNGCODE,602,0x25D2BC,603,0x25D318,captcha
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,sttbaithuylao,604,0x25D37C,605,0x25D3C4,activity_thuylao
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TotalBTD,606,0x25D418,607,0x25D460,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,SoLuongNhanVat,608,0x25D4D8,609,0x25D520,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,MaxTBD,610,0x25D584,611,0x25D5CC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,IsDoanChat,612,0x25D630,613,0x25D68C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,HenGio,614,0x25D6F0,615,0x25D74C,scheduler
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,IsSelectAllDevice,616,0x25D7B0,617,0x25D7F8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.NoxMultiIni,pid,975,0x2BB594,976,0x2BB5A8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.NoxMultiIni,vmpid,977,0x2BB5BC,978,0x2BB5D0,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.NoxMultiIni,Ports,979,0x2BB5E4,980,0x2BB5F8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,QuestThread,1002,0x2BBA80,1003,0x2BBAC8,core_orchestration;quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,DeviceID,1004,0x2BBAF0,1005,0x2BBB4C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,Device,1006,0x2BBB74,1007,0x2BBBD0,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,IsRuningQuest,1008,0x2BBC24,1009,0x2BBC6C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,QuestToDo,1010,0x2BBCD0,1011,0x2BBD2C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,ThoiGian,1012,0x2BBD54,1013,0x2BBD9C,quest_level;scheduler
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,IsThoiGian,1014,0x2BBE14,1015,0x2BBE5C,quest_level;scheduler
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,Isslnhanvat,1016,0x2BBEB0,1017,0x2BBF0C,quest_level
