feature,assembly,declaring_type,method,rid,rva,body_status
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_chuyenitem,560,0x25C558,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_chuyenitem,561,0x25C5B4,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_chuyenitemvang,562,0x25C618,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_chuyenitemvang,563,0x25C674,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_thuylao,564,0x25C6C8,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_thuylao,565,0x25C6E0,valid_il_header
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_autoPT,576,0x25CAF8,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_autoPT,577,0x25CB54,valid_il_header
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_AUTOLOGIN,578,0x25CBCC,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_AUTOLOGIN,579,0x25CBE4,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_BAITRAIN_ALL,582,0x25CCF8,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_BAITRAIN_ALL,583,0x25CD54,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_BaiTrainSelected,584,0x25CDCC,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_BaiTrainSelected,585,0x25CDE4,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_BaiTrainAll,586,0x25CE48,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_BaiTrainAll,587,0x25CEA4,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_sellItem,588,0x25CECC,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_sellItem,589,0x25CF28,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_trainlevelNEW,594,0x25D0B4,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_trainlevelNEW,595,0x25D0CC,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_danhytrilieu,596,0x25D120,valid_il_header
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_danhytrilieu,597,0x25D17C,valid_il_header
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_muaItem,598,0x25D1D0,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_muaItem,599,0x25D1E8,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_dungvang,600,0x25D24C,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_dungvang,601,0x25D294,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_DUNGCODE,602,0x25D2BC,valid_il_header
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_DUNGCODE,603,0x25D318,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_sttbaithuylao,604,0x25D37C,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_sttbaithuylao,605,0x25D3C4,protected_or_nonstandard
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_HenGio,614,0x25D6F0,protected_or_nonstandard
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_HenGio,615,0x25D74C,valid_il_header
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,CheckUpdate,619,0x260010,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,AutoUpdaterOnCheckForUpdateEvent,620,0x260130,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,CheckMutant,621,0x2601C8,valid_il_header
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,CheckLicense,622,0x2602BC,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,GetInterNetDate,623,0x260408,protected_or_nonstandard
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TimerCheckHenGio_Tick,625,0x2606EC,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,LoadDevices,627,0x2608CC,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TimerCheckDevices_Tick,628,0x2608E8,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,LoadListDevices,629,0x260D14,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,LoadQuest,633,0x261418,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,LoadQuest,633,0x261418,protected_or_nonstandard
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,checktime,634,0x2614C8,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,nhaptkmk,635,0x261534,valid_il_header
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vaothuylao,636,0x261D54,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,hdthuylao,637,0x2636C4,protected_or_nonstandard
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,xuatpet,640,0x265BC0,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,duyetPT,641,0x26619C,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,checkthanhvien,642,0x26689C,valid_il_header
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,danh_actac,643,0x267070,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,gettoado_actac,644,0x268D94,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,gettoado_actac,644,0x268D94,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,toivitri_actac,645,0x26979C,valid_il_header
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,HD_ACTAC,646,0x26A4CC,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,trainLEVEL1,648,0x26E6E4,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,THOAT_VAOLAI_PT,654,0x275118,valid_il_header
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,THOAT_PT,655,0x27572C,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TAO_PT_1NGUOI,656,0x275B28,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,theodoi,657,0x275ECC,protected_or_nonstandard
party_follow,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,botheodoi,658,0x2763D4,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,batdanh,659,0x276670,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,tatdanh,660,0x276970,valid_il_header
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,lenbaitrain,661,0x276D60,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,donrac,662,0x28BBE4,valid_il_header
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vuthettrangbi,663,0x28C888,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,sellItemm,664,0x28D264,protected_or_nonstandard
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,catdovaokho,665,0x290220,protected_or_nonstandard
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,laydotrongkho,666,0x291060,valid_il_header
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,checkmuaitem,667,0x291824,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,nhanitem,668,0x293B48,valid_il_header
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,checkfulltui,669,0x2945D0,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,closeapp,671,0x295774,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,checktrilieutudong,672,0x295AF8,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,batbuff,673,0x29636C,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,muamaumana,674,0x296458,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,muadochopet,675,0x297040,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,Truyenvetochau,678,0x29AB9C,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,truyenmap,679,0x29BB74,protected_or_nonstandard
activity_tbd,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,toinpcTBD,680,0x29C148,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,toinpcTBD,680,0x29C148,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,didau,681,0x29C538,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,toinpcthuylao,682,0x29D570,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,toinpcthuylao,682,0x29D570,protected_or_nonstandard
